productid,name,fl_drupallongitude,fl_drupallatitude,statecode,fl_drupaltypeemptyspaceconventional,fl_drupaltypemanagedoffice,fl_drupaltypeservicedoffice,fl_drupalservicesfullyfurnished,new_region
fdc34cbf-9772-ea11-a811-000d3a20f014,Pieter Braaijweg 203,,,1,,,,,Amsterdam
8044e821-5273-ea11-a811-000d3a20f014,Parkweg 22,,,1,,,,,Voorburg
006b3f39-c274-ea11-a811-000d3a20f014,Rhijnspoor 209-263,4.561695,51.9220173,0,True,False,False,False,Capelle aan den IJssel
813d17ee-f274-ea11-a811-000d3a20f014,Delflandlaan 2,,,1,,,,,Amsterdam
3694168c-7979-ea11-a811-000d3a20f014,Am Bahnhof Westend 9,13.28606,52.51817,0,False,False,True,False,Berlin
fd6d4df0-f07e-ea11-a811-000d3a20f014,Knollendamstraat 7A,,,1,,,,,Amsterdam
d1c50c57-187f-ea11-a811-000d3a20f014,Karl-Liebknecht-Straße 5,,,1,,,,,Berlin
ce0330dc-a080-ea11-a811-000d3a20f014,Aert van Nesstraat 45,,,1,,,,,Rotterdam
ae188f3e-a680-ea11-a811-000d3a20f014,Budapester Straße 46,13.3356,52.50558,0,False,False,True,False,Berlin
11958e93-ae80-ea11-a811-000d3a20f014,Budapester Straße 35,13.3417329,52.5054275,0,False,False,True,False,Berlin
3a6a1371-a383-ea11-a811-000d3a20f014,Van der Takstraat 8,4.4956429,51.914684,1,False,False,True,False,Rotterdam
d3d4f541-ac83-ea11-a811-000d3a20f014,Van Heekstraat 15,4.4065091,51.9311652,0,True,True,False,False,Schiedam
e86dce5f-b483-ea11-a811-000d3a20f014,Willem de Zwijgerlaan 2,4.4943214,52.1697574,0,False,False,True,True,Leiden
f57ac911-c583-ea11-a811-000d3a20f014,Zomerhofstraat 84,4.4789301,51.9286609,0,False,True,True,False,Rotterdam
288447a0-ff85-ea11-a811-000d3a20f014,Ijsselmeerlaan 2,,,1,,,,,Weesp
54d3e634-2989-ea11-a811-000d3a20f014,Schepen Bierwischstraat 5-7,,,1,,,,,Arnhem
6710c1cf-3489-ea11-a811-000d3a20f014,Gooimeer 1,,,1,,,,,Naarden
dbaa996a-3a89-ea11-a811-000d3a20f014,Romeinsesteenweg 456,4.3536708,50.9015146,0,False,False,True,False,Grimbergen
11249f08-4b89-ea11-a811-000d3a20f014,Leonard Springerlaan 7,6.5561655,53.2036788,0,False,True,False,False,Groningen
a92be024-4e89-ea11-a811-000d3a20f014,Friesestraatweg 207-221,6.5338106,53.2279609,0,False,True,False,False,Groningen
cb9874e6-5a89-ea11-a811-000d3a20f014,10 Rue du Faubourg Montmartre,2.3433739,48.8723369,1,False,False,True,False,Paris
3110a161-5c89-ea11-a811-000d3a20f014,12 Rue Auber,,,2,,,,,Paris
a5c1c9ad-b88b-ea11-a811-000d3a20f014,1 Place d’Estienne d’Orves,2.3309084,48.8764046,1,False,False,True,False,Paris
